timestamp,claims,done,todo,total,ikata_items,ikata_bytes
2026-06-02T08:02:15Z,925486,48510231,0,49435717,,
2026-06-02T08:02:26Z,925477,48510232,0,49435709,,
02/06/2026 08:04:17,925387,48510259,0,49435646,,
02/06/2026 09:05:10,925336,48510269,0,49435605,,
02/06/2026 09:10:10,925094,48510328,0,49435422,,
02/06/2026 09:15:10,924831,48510390,0,49435221,,
02/06/2026 09:20:10,924564,48510459,0,49435023,,
02/06/2026 09:25:11,924321,48510533,0,49434854,,
02/06/2026 11:19:59,914823,48512960,0,49427783,,
02/06/2026 11:23:26,914552,48513029,0,49427581,,
02/06/2026 11:25:22,914462,48513054,0,49427516,,
02/06/2026 11:30:21,914191,48513130,0,49427321,,
02/06/2026 11:35:10,913914,48513208,0,49427122,9732,5003049991602
02/06/2026 11:40:49,913634,48513287,0,49426921,9738,5003540165809
02/06/2026 11:45:49,913356,48513362,0,49426718,9749,5017512655819
02/06/2026 11:50:51,913084,48513429,0,49426513,9761,5027995991020
02/06/2026 11:55:50,912803,48513507,0,49426310,9768,5029198228000
02/06/2026 12:00:50,912548,48513567,0,49426115,9774,5030633656337
02/06/2026 12:05:49,912298,48513634,0,49425932,9783,5031708197862
02/06/2026 12:10:49,912015,48513723,0,49425738,9793,5037225313071
02/06/2026 12:15:49,911737,48513811,0,49425548,9805,5039725779618
02/06/2026 12:20:50,911441,48513897,0,49425338,9817,5044668605160
02/06/2026 12:25:49,911143,48513985,0,49425128,9832,5053470211869
02/06/2026 12:30:49,910899,48514046,0,49424945,9844,5056578317535
02/06/2026 12:35:50,910616,48514130,0,49424746,9858,5059961346998
02/06/2026 12:40:51,910384,48514196,0,49424580,9864,5060689994325
02/06/2026 12:45:52,910102,48514276,0,49424378,9872,5064751905822
02/06/2026 12:50:49,909856,48514346,0,49424202,9879,5066056692472
02/06/2026 12:55:49,909581,48514421,0,49424002,9892,5069938281605
02/06/2026 13:00:49,909281,48514501,0,49423782,9904,5070758992404
